probe_id,condition,target_slice,referenceability,character,gpt_answer_length,gpt_answer_tools,gpt_answer_judge_a,gpt_answer_verdict_a,gpt_answer_judge_b,gpt_answer_verdict_b,gpt_answer_pair_category,opus_answer_length,opus_answer_tools,opus_answer_judge_a,opus_answer_verdict_a,opus_answer_judge_b,opus_answer_verdict_b,opus_answer_pair_category
R03,production,both,medium,search-like,1784,12,gpt-5.4_judge,partial,opus-4.6_judge,pass,adjacent,2372,49,opus-4.6_judge,pass,gpt-family_judge,partial,adjacent
R03,pure,both,medium,search-like,3044,22,gpt-5.4_judge,fail,opus-4.6_judge,pass,full_band,2195,45,opus-4.6_judge,partial,gpt-family_judge,fail,adjacent
R03,zero,both,medium,search-like,1506,23,gpt-5.4_judge,partial,opus-4.6_judge,partial,exact,3847,32,opus-4.6_judge,partial,gpt-family_judge,fail,adjacent
R05,production,landscape,medium,search-like,7306,21,gpt-5.4_judge,partial,opus-4.6_judge,pass,adjacent,5042,49,opus-4.6_judge,pass,gpt-family_judge,fail,full_band
R05,pure,landscape,medium,search-like,9926,22,gpt-5.4_judge,partial,opus-4.6_judge,partial,exact,8758,56,opus-4.6_judge,partial,gpt-family_judge,partial,exact
R05,zero,landscape,medium,search-like,7868,39,gpt-5.4_judge,partial,opus-4.6_judge,pass,adjacent,8797,58,opus-4.6_judge,pass,gpt-family_judge,partial,adjacent
R07,production,historical,high,search-like,6134,22,gpt-5.4_judge,partial,opus-4.6_judge,pass,adjacent,2461,17,opus-4.6_judge,partial,gpt-family_judge,partial,exact
R07,pure,historical,high,search-like,4525,27,gpt-5.4_judge,partial,opus-4.6_judge,partial,exact,2384,30,opus-4.6_judge,pass,gpt-family_judge,partial,adjacent
R07,zero,historical,high,search-like,1638,23,gpt-5.4_judge,fail,opus-4.6_judge,fail,exact,2361,29,opus-4.6_judge,partial,gpt-family_judge,partial,exact
R08,production,tip,low,reconstruction-like,967,15,gpt-5.4_judge,fail,opus-4.6_judge,fail,exact,1564,26,opus-4.6_judge,partial,gpt-family_judge,partial,exact
R08,pure,tip,low,reconstruction-like,3866,18,gpt-5.4_judge,partial,opus-4.6_judge,partial,exact,494,10,opus-4.6_judge,fail,gpt-family_judge,fail,exact
R08,zero,tip,low,reconstruction-like,1340,8,gpt-5.4_judge,fail,opus-4.6_judge,partial,adjacent,976,9,opus-4.6_judge,fail,gpt-family_judge,fail,exact
R09,production,landscape,medium,search-like,1612,26,gpt-5.4_judge,fail,opus-4.6_judge,partial,adjacent,2060,34,opus-4.6_judge,partial,gpt-family_judge,partial,exact
R09,pure,landscape,medium,search-like,4500,15,gpt-5.4_judge,pass,opus-4.6_judge,partial,adjacent,2427,29,opus-4.6_judge,partial,gpt-family_judge,partial,exact
R09,zero,landscape,medium,search-like,3161,13,gpt-5.4_judge,fail,opus-4.6_judge,partial,adjacent,1199,10,opus-4.6_judge,fail,gpt-family_judge,fail,exact
R13,production,historical,low,reconstruction-like,2856,24,gpt-5.4_judge,partial,opus-4.6_judge,pass,adjacent,4198,43,opus-4.6_judge,pass,gpt-family_judge,pass,exact
R13,pure,historical,low,reconstruction-like,3485,22,gpt-5.4_judge,pass,opus-4.6_judge,pass,exact,3478,31,opus-4.6_judge,pass,gpt-family_judge,pass,exact
R13,zero,historical,low,reconstruction-like,3034,15,gpt-5.4_judge,partial,opus-4.6_judge,pass,adjacent,5326,36,opus-4.6_judge,pass,gpt-family_judge,partial,adjacent
R14,production,tip,high,search-like,589,19,gpt-5.4_judge,partial,opus-4.6_judge,invalid,invalid_or_missing,1753,31,opus-4.6_judge,partial,gpt-family_judge,partial,exact
R14,pure,tip,high,search-like,1826,22,gpt-5.4_judge,partial,opus-4.6_judge,pass,adjacent,1655,38,opus-4.6_judge,partial,gpt-family_judge,partial,exact
R14,zero,tip,high,search-like,1336,18,gpt-5.4_judge,partial,opus-4.6_judge,invalid,invalid_or_missing,1823,27,opus-4.6_judge,pass,gpt-family_judge,partial,adjacent
R15,production,tip,high,search-like,2084,16,gpt-5.4_judge,partial,opus-4.6_judge,partial,exact,1948,36,opus-4.6_judge,pass,gpt-family_judge,partial,adjacent
R15,pure,tip,high,search-like,2840,19,gpt-5.4_judge,partial,opus-4.6_judge,partial,exact,1374,46,opus-4.6_judge,partial,gpt-family_judge,partial,exact
R15,zero,tip,high,search-like,2001,11,gpt-5.4_judge,pass,opus-4.6_judge,pass,exact,1682,33,opus-4.6_judge,pass,gpt-family_judge,partial,adjacent
R18,production,historical,low,reconstruction-like,7631,29,gpt-5.4_judge,partial,opus-4.6_judge,partial,exact,3309,42,opus-4.6_judge,partial,gpt-family_judge,partial,exact
R18,pure,historical,low,reconstruction-like,4442,21,gpt-5.4_judge,partial,opus-4.6_judge,pass,adjacent,1990,21,opus-4.6_judge,partial,gpt-family_judge,partial,exact
R18,zero,historical,low,reconstruction-like,7383,26,gpt-5.4_judge,partial,opus-4.6_judge,pass,adjacent,3922,75,opus-4.6_judge,partial,gpt-family_judge,partial,exact
R19,production,tip,medium,search-like,1178,17,gpt-5.4_judge,fail,opus-4.6_judge,fail,exact,33,0,opus-4.6_judge,fail,gpt-family_judge,fail,exact
R19,pure,tip,medium,search-like,1150,28,gpt-5.4_judge,partial,opus-4.6_judge,partial,exact,2475,43,opus-4.6_judge,partial,gpt-family_judge,partial,exact
R19,zero,tip,medium,search-like,1733,13,gpt-5.4_judge,fail,opus-4.6_judge,partial,adjacent,1697,27,opus-4.6_judge,pass,gpt-family_judge,fail,full_band
