probe_id,condition,answer_source,target_slice,referenceability,verified,inferred,speculative,unsupported,contradicted,uncheckable,total_status_tags,supported_tag_rate,strict_verified_rate,unsupported_bundle_rate
R03,pure,gpt-5.4,both,medium,3,1,0,0,0,0,4,1.0,0.75,0.0
R03,pure,opus-4.6,both,medium,4,1,0,0,0,0,5,1.0,0.8,0.0
R03,production,gpt-5.4,both,medium,3,1,0,0,0,0,4,1.0,0.75,0.0
R03,production,opus-4.6,both,medium,3,1,0,0,0,0,4,1.0,0.75,0.0
R03,zero,gpt-5.4,both,medium,3,1,0,0,0,0,4,1.0,0.75,0.0
R03,zero,opus-4.6,both,medium,1,0,0,0,3,0,4,0.25,0.25,0.75
R07,production,gpt-5.4,historical,high,3,1,0,0,0,0,4,1.0,0.75,0.0
R07,production,opus-4.6,historical,high,2,1,0,0,0,0,3,1.0,0.6667,0.0
R07,pure,gpt-5.4,historical,high,2,1,0,1,0,1,5,0.6,0.4,0.4
R07,pure,opus-4.6,historical,high,2,0,0,0,0,0,2,1.0,1.0,0.0
R07,zero,gpt-5.4,historical,high,1,0,0,0,1,1,3,0.3333,0.3333,0.6667
R07,zero,opus-4.6,historical,high,1,1,0,1,0,1,4,0.5,0.25,0.5
R08,production,gpt-5.4,tip,low,1,1,0,1,1,0,4,0.5,0.25,0.5
R08,production,opus-4.6,tip,low,2,1,0,0,1,0,4,0.75,0.5,0.25
R08,pure,gpt-5.4,tip,low,3,0,0,0,0,1,4,0.75,0.75,0.25
R08,pure,opus-4.6,tip,low,2,1,0,0,1,0,4,0.75,0.5,0.25
R09,production,gpt-5.4,landscape,medium,2,0,0,1,1,0,4,0.5,0.5,0.5
R09,production,opus-4.6,landscape,medium,0,1,0,0,2,1,4,0.25,0.0,0.75
R09,pure,gpt-5.4,landscape,medium,3,1,0,0,1,0,5,0.8,0.6,0.2
R09,pure,opus-4.6,landscape,medium,3,1,0,0,0,0,4,1.0,0.75,0.0
R14,production,gpt-5.4,tip,high,3,0,0,1,0,0,4,0.75,0.75,0.25
R14,production,opus-4.6,tip,high,2,3,0,0,0,0,5,1.0,0.4,0.0
R14,pure,gpt-5.4,tip,high,3,1,0,1,0,0,5,0.8,0.6,0.2
R14,pure,opus-4.6,tip,high,3,3,0,0,0,0,6,1.0,0.5,0.0
R14,zero,gpt-5.4,tip,high,1,1,1,1,0,0,4,0.5,0.25,0.25
R14,zero,opus-4.6,tip,high,4,3,0,0,0,0,7,1.0,0.5714,0.0
R19,production,gpt-5.4,tip,medium,0,0,0,1,3,2,6,0.0,0.0,1.0
R19,production,opus-4.6,tip,medium,1,0,0,0,0,1,2,0.5,0.5,0.5
R19,pure,gpt-5.4,tip,medium,2,0,0,1,1,0,4,0.5,0.5,0.5
R19,pure,opus-4.6,tip,medium,0,1,0,1,2,0,4,0.25,0.0,0.75
R19,zero,gpt-5.4,tip,medium,0,0,0,0,2,1,3,0.0,0.0,1.0
R19,zero,opus-4.6,tip,medium,3,2,0,0,0,0,5,1.0,0.6,0.0
